title,numOfWords,numOfNegativeWords,numOfDoubleNegatives
daoyun6.sg,439,38,0
lifestyle.it,488,38,0
goojodoq.sg,146,21,0
t2electronics,23,2,0
mobilehardware,550,54,0
todkai219.sg,129,14,0
sparkjoy,435,46,0
lionshieldsg,323,28,0
ultimateprotector,149,14,0
realgirl.sg,496,49,0
superdeal.it.sg,68,3,0
crescendolaptop,94,10,0
enyiphones.sg,196,30,0
ftw.sg,326,28,0
hapicstore.sg,127,11,0
hanhadha.sg,44,6,0
ha6l935daxxxgmb3tu65fhxdpv_z,30,3,0
ek986,30,3,0
zdu3d6waqr3zlzgg_ffg4v8_rov9,46,4,0
r0donk3rz2rteqkt5atf739dv0os,56,5,0
